employment_matrix,education_needed
  Anthropologists and archeologists,Master's degree
  Geographers,Bachelor's degree
  Historians,Master's degree
  Political scientists,Master's degree
"  Social scientists and related workers, all other[2]",Bachelor's degree
  Agricultural technicians,Associate's degree
  Food science technicians,Associate's degree
  Biological technicians,Bachelor's degree
  Chemical technicians,Associate's degree
"  Environmental science and protection technicians, including health",Associate's degree
"  Geological technicians, except hydrologic technicians",Associate's degree
  Hydrologic technicians[2],Associate's degree
  Nuclear technicians,Associate's degree
  Social science research assistants,Bachelor's degree
  Forest and conservation technicians,Associate's degree
  Forensic science technicians,Bachelor's degree
"  Life, physical, and social science technicians, all other[2]",Associate's degree
  Occupational health and safety specialists,Bachelor's degree
  Occupational health and safety technicians,High school diploma or equivalent
"  Educational, guidance, and career counselors and advisors",Master's degree
  Marriage and family therapists,Master's degree
  Rehabilitation counselors,Master's degree
"  Substance abuse, behavioral disorder, and mental health counselors",Master's degree
"  Counselors, all other[2]",Master's degree
"  Child, family, and school social workers",Bachelor's degree
  Healthcare social workers,Master's degree
  Mental health and substance abuse social workers,Master's degree
"  Social workers, all other[2]",Bachelor's degree
  Health education specialists,Bachelor's degree
  Probation officers and correctional treatment specialists,Bachelor's degree
  Social and human service assistants,High school diploma or equivalent
  Community health workers,High school diploma or equivalent
"  Community and social service specialists, all other[2]",Bachelor's degree
  Clergy,Bachelor's degree
"  Directors, religious activities and education",Bachelor's degree
"  Religious workers, all other[2]",Bachelor's degree
  Lawyers,Doctoral or professional degree
  Judicial law clerks,Doctoral or professional degree
"  Administrative law judges, adjudicators, and hearing officers",Doctoral or professional degree
"  Arbitrators, mediators, and conciliators",Bachelor's degree
"  Judges, magistrate judges, and magistrates",Doctoral or professional degree
  Paralegals and legal assistants,Associate's degree
"  Title examiners, abstractors, and searchers",High school diploma or equivalent
"  Legal support workers, all other[2]",Associate's degree
"  Business teachers, postsecondary",Doctoral or professional degree
"  Computer science teachers, postsecondary",Doctoral or professional degree
"  Mathematical science teachers, postsecondary",Doctoral or professional degree
"  Architecture teachers, postsecondary",Doctoral or professional degree
"  Engineering teachers, postsecondary",Doctoral or professional degree
"  Agricultural sciences teachers, postsecondary",Doctoral or professional degree
"  Biological science teachers, postsecondary",Doctoral or professional degree
"  Forestry and conservation science teachers, postsecondary",Doctoral or professional degree
"  Atmospheric, earth, marine, and space sciences teachers, postsecondary",Doctoral or professional degree
"  Chemistry teachers, postsecondary",Doctoral or professional degree
"  Environmental science teachers, postsecondary",Doctoral or professional degree
"  Physics teachers, postsecondary",Doctoral or professional degree
"  Anthropology and archeology teachers, postsecondary",Doctoral or professional degree
"  Area, ethnic, and cultural studies teachers, postsecondary",Doctoral or professional degree
"  Economics teachers, postsecondary",Doctoral or professional degree
"  Geography teachers, postsecondary",Doctoral or professional degree
"  Political science teachers, postsecondary",Doctoral or professional degree
"  Psychology teachers, postsecondary",Doctoral or professional degree
"  Sociology teachers, postsecondary",Doctoral or professional degree
"  Social sciences teachers, postsecondary, all other[2]",Doctoral or professional degree
"  Health specialties teachers, postsecondary",Doctoral or professional degree
"  Nursing instructors and teachers, postsecondary",Doctoral or professional degree
"  Education teachers, postsecondary",Doctoral or professional degree
"  Library science teachers, postsecondary",Doctoral or professional degree
"  Criminal justice and law enforcement teachers, postsecondary",Doctoral or professional degree
"  Law teachers, postsecondary",Doctoral or professional degree
"  Social work teachers, postsecondary",Doctoral or professional degree
"  Art, drama, and music teachers, postsecondary",Master's degree
"  Communications teachers, postsecondary",Doctoral or professional degree
"  English language and literature teachers, postsecondary",Doctoral or professional degree
"  Foreign language and literature teachers, postsecondary",Doctoral or professional degree
"  History teachers, postsecondary",Doctoral or professional degree
"  Philosophy and religion teachers, postsecondary",Doctoral or professional degree
"  Family and consumer sciences teachers, postsecondary",Doctoral or professional degree
"  Recreation and fitness studies teachers, postsecondary",Doctoral or professional degree
"  Career/technical education teachers, postsecondary",Bachelor's degree
"  Postsecondary teachers, all other[2]",Doctoral or professional degree
"  Preschool teachers, except special education",Associate's degree
"  Kindergarten teachers, except special education",Bachelor's degree
"  Elementary school teachers, except special education",Bachelor's degree
"  Middle school teachers, except special and career/technical education",Bachelor's degree
"  Career/technical education teachers, middle school",Bachelor's degree
"  Secondary school teachers, except special and career/technical education",Bachelor's degree
"  Career/technical education teachers, secondary school",Bachelor's degree
"  Special education teachers, preschool",Bachelor's degree
"  Special education teachers, kindergarten and elementary school[2]",Bachelor's degree
"  Special education teachers, middle school",Bachelor's degree
"  Special education teachers, secondary school",Bachelor's degree
