employment_matrix,education_needed
"  Earth drillers, except oil and gas",High school diploma or equivalent
"  Explosives workers, ordnance handling experts, and blasters",High school diploma or equivalent
  Continuous mining machine operators,No formal educational credential
"  Roof bolters, mining",High school diploma or equivalent
"  Loading and moving machine operators, underground mining",No formal educational credential
"  Underground mining machine operators, all other[2]",No formal educational credential
"  Rock splitters, quarry",No formal educational credential
"  Roustabouts, oil and gas",No formal educational credential
  Helpers--extraction workers,High school diploma or equivalent
"  Extraction workers, all other[2]",High school diploma or equivalent
"  First-line supervisors of mechanics, installers, and repairers",High school diploma or equivalent
"  Computer, automated teller, and office machine repairers","Some college, no degree"
"  Radio, cellular, and tower equipment installers and repairers",Associate's degree
"  Telecommunications equipment installers and repairers, except line installers",Postsecondary nondegree award
  Avionics technicians,Postsecondary nondegree award
"  Electric motor, power tool, and related repairers",High school diploma or equivalent
"  Electrical and electronics installers and repairers, transportation equipment",Postsecondary nondegree award
"  Electrical and electronics repairers, commercial and industrial equipment",Postsecondary nondegree award
"  Electrical and electronics repairers, powerhouse, substation, and relay",Postsecondary nondegree award
"  Electronic equipment installers and repairers, motor vehicles",High school diploma or equivalent
  Audiovisual equipment installers and repairers,Postsecondary nondegree award
  Security and fire alarm systems installers,High school diploma or equivalent
  Aircraft mechanics and service technicians,Postsecondary nondegree award
  Automotive body and related repairers,High school diploma or equivalent
  Automotive glass installers and repairers,High school diploma or equivalent
  Automotive service technicians and mechanics,Postsecondary nondegree award
  Bus and truck mechanics and diesel engine specialists,High school diploma or equivalent
  Farm equipment mechanics and service technicians,High school diploma or equivalent
"  Mobile heavy equipment mechanics, except engines",High school diploma or equivalent
  Rail car repairers,High school diploma or equivalent
  Motorboat mechanics and service technicians,High school diploma or equivalent
  Motorcycle mechanics,Postsecondary nondegree award
  Outdoor power equipment and other small engine mechanics,High school diploma or equivalent
  Bicycle repairers,High school diploma or equivalent
  Recreational vehicle service technicians,High school diploma or equivalent
  Tire repairers and changers,High school diploma or equivalent
  Mechanical door repairers,High school diploma or equivalent
"  Control and valve installers and repairers, except mechanical door",High school diploma or equivalent
"  Heating, air conditioning, and refrigeration mechanics and installers",Postsecondary nondegree award
  Home appliance repairers,High school diploma or equivalent
  Industrial machinery mechanics,High school diploma or equivalent
"  Maintenance workers, machinery",High school diploma or equivalent
  Millwrights,High school diploma or equivalent
"  Refractory materials repairers, except brickmasons",High school diploma or equivalent
  Electrical power-line installers and repairers,High school diploma or equivalent
  Telecommunications line installers and repairers,High school diploma or equivalent
  Camera and photographic equipment repairers,High school diploma or equivalent
  Medical equipment repairers,Associate's degree
  Musical instrument repairers and tuners,High school diploma or equivalent
  Watch and clock repairers,High school diploma or equivalent
"  Precision instrument and equipment repairers, all other[2]",High school diploma or equivalent
"  Maintenance and repair workers, general",High school diploma or equivalent
  Wind turbine service technicians,Postsecondary nondegree award
"  Coin, vending, and amusement machine servicers and repairers",High school diploma or equivalent
  Commercial divers,Postsecondary nondegree award
  Locksmiths and safe repairers,High school diploma or equivalent
  Manufactured building and mobile home installers,High school diploma or equivalent
  Riggers,High school diploma or equivalent
  Signal and track switch repairers,High school diploma or equivalent
"  Helpers--installation, maintenance, and repair workers",High school diploma or equivalent
"  Installation, maintenance, and repair workers, all other[2]",High school diploma or equivalent
  First-line supervisors of production and operating workers,High school diploma or equivalent
"  Aircraft structure, surfaces, rigging, and systems assemblers",High school diploma or equivalent
"  Coil winders, tapers, and finishers",High school diploma or equivalent
"  Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",High school diploma or equivalent
  Engine and other machine assemblers,High school diploma or equivalent
  Structural metal fabricators and fitters,High school diploma or equivalent
  Fiberglass laminators and fabricators,High school diploma or equivalent
  Timing device assemblers and adjusters,High school diploma or equivalent
  Miscellaneous assemblers and fabricators[2],High school diploma or equivalent
  Bakers,No formal educational credential
  Butchers and meat cutters,No formal educational credential
"  Meat, poultry, and fish cutters and trimmers",No formal educational credential
  Slaughterers and meat packers,No formal educational credential
"  Food and tobacco roasting, baking, and drying machine operators and tenders",No formal educational credential
  Food batchmakers,High school diploma or equivalent
  Food cooking machine operators and tenders,High school diploma or equivalent
"  Food processing workers, all other[2]",No formal educational credential
"  Extruding and drawing machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
"  Forging machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
"  Rolling machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
"  Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
"  Drilling and boring machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent
"  Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent
"  Lathe and turning machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent
"  Milling and planing machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
  Machinists,High school diploma or equivalent
  Metal-refining furnace operators and tenders,High school diploma or equivalent
"  Pourers and casters, metal",High school diploma or equivalent
"  Model makers, metal and plastic",High school diploma or equivalent
"  Patternmakers, metal and plastic",High school diploma or equivalent
  Foundry mold and coremakers,High school diploma or equivalent
"  Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
"  Multiple machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent
  Tool and die makers,Postsecondary nondegree award
"  Welders, cutters, solderers, and brazers",High school diploma or equivalent
"  Welding, soldering, and brazing machine setters, operators, and tenders",High school diploma or equivalent
"  Heat treating equipment setters, operators, and tenders, metal and plastic",High school diploma or equivalent
"  Layout workers, metal and plastic",High school diploma or equivalent
"  Plating machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent
"  Tool grinders, filers, and sharpeners",High school diploma or equivalent
"  Metal workers and plastic workers, all other[2]",High school diploma or equivalent
  Prepress technicians and workers,Postsecondary nondegree award
  Printing press operators,High school diploma or equivalent
  Print binding and finishing workers,High school diploma or equivalent
  Laundry and dry-cleaning workers,No formal educational credential
"  Pressers, textile, garment, and related materials",No formal educational credential
  Sewing machine operators,No formal educational credential
  Shoe and leather workers and repairers,High school diploma or equivalent
  Shoe machine operators and tenders,High school diploma or equivalent
"  Sewers, hand",No formal educational credential
"  Tailors, dressmakers, and custom sewers",No formal educational credential
  Textile bleaching and dyeing machine operators and tenders,High school diploma or equivalent
"  Textile cutting machine setters, operators, and tenders",High school diploma or equivalent
"  Textile knitting and weaving machine setters, operators, and tenders",High school diploma or equivalent
"  Textile winding, twisting, and drawing out machine setters, operators, and tenders",High school diploma or equivalent
"  Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",High school diploma or equivalent
  Fabric and apparel patternmakers,High school diploma or equivalent
  Upholsterers,High school diploma or equivalent
"  Textile, apparel, and furnishings workers, all other[2]",High school diploma or equivalent
  Cabinetmakers and bench carpenters,High school diploma or equivalent
  Furniture finishers,High school diploma or equivalent
"  Model makers, wood",High school diploma or equivalent
"  Patternmakers, wood",High school diploma or equivalent
"  Sawing machine setters, operators, and tenders, wood",High school diploma or equivalent
"  Woodworking machine setters, operators, and tenders, except sawing",High school diploma or equivalent
"  Woodworkers, all other[2]",High school diploma or equivalent
  Nuclear power reactor operators,High school diploma or equivalent
  Power distributors and dispatchers,High school diploma or equivalent
  Power plant operators,High school diploma or equivalent
  Stationary engineers and boiler operators,High school diploma or equivalent
  Water and wastewater treatment plant and system operators,High school diploma or equivalent
  Chemical plant and system operators,High school diploma or equivalent
  Gas plant operators,High school diploma or equivalent
"  Petroleum pump system operators, refinery operators, and gaugers",High school diploma or equivalent
"  Plant and system operators, all other[2]",High school diploma or equivalent
  Chemical equipment operators and tenders,High school diploma or equivalent
"  Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",High school diploma or equivalent
"  Crushing, grinding, and polishing machine setters, operators, and tenders",High school diploma or equivalent
"  Grinding and polishing workers, hand",No formal educational credential
"  Mixing and blending machine setters, operators, and tenders",High school diploma or equivalent
"  Cutters and trimmers, hand",No formal educational credential
"  Cutting and slicing machine setters, operators, and tenders",High school diploma or equivalent
"  Extruding, forming, pressing, and compacting machine setters, operators, and tenders",High school diploma or equivalent
"  Furnace, kiln, oven, drier, and kettle operators and tenders",High school diploma or equivalent
"  Inspectors, testers, sorters, samplers, and weighers",High school diploma or equivalent
  Jewelers and precious stone and metal workers,High school diploma or equivalent
  Dental laboratory technicians,High school diploma or equivalent
  Medical appliance technicians,High school diploma or equivalent
  Ophthalmic laboratory technicians,High school diploma or equivalent
  Packaging and filling machine operators and tenders,High school diploma or equivalent
"  Painting, coating, and decorating workers",No formal educational credential
"  Coating, painting, and spraying machine setters, operators, and tenders",High school diploma or equivalent
  Semiconductor processing technicians,High school diploma or equivalent
  Photographic process workers and processing machine operators,High school diploma or equivalent
  Computer numerically controlled tool operators,High school diploma or equivalent
  Computer numerically controlled tool programmers,Postsecondary nondegree award
  Adhesive bonding machine operators and tenders,High school diploma or equivalent
"  Cleaning, washing, and metal pickling equipment operators and tenders",High school diploma or equivalent
  Cooling and freezing equipment operators and tenders,High school diploma or equivalent
  Etchers and engravers,High school diploma or equivalent
"  Molders, shapers, and casters, except metal and plastic",High school diploma or equivalent
"  Paper goods machine setters, operators, and tenders",High school diploma or equivalent
  Tire builders,High school diploma or equivalent
  Helpers--production workers,High school diploma or equivalent
"  Production workers, all other[2]",High school diploma or equivalent
  Aircraft cargo handling supervisors,High school diploma or equivalent
"  First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors[2]",High school diploma or equivalent
"  Airline pilots, copilots, and flight engineers",Bachelor's degree
  Commercial pilots,Postsecondary nondegree award
  Air traffic controllers,Associate's degree
  Airfield operations specialists,High school diploma or equivalent
  Flight attendants,High school diploma or equivalent
"  Ambulance drivers and attendants, except emergency medical technicians",High school diploma or equivalent
  Driver/sales workers,High school diploma or equivalent
  Heavy and tractor-trailer truck drivers,Postsecondary nondegree award
  Light truck drivers,High school diploma or equivalent
"  Bus drivers, school[2]",High school diploma or equivalent
"  Bus drivers, transit and intercity",High school diploma or equivalent
  Shuttle drivers and chauffeurs[2],No formal educational credential
  Taxi drivers[2],No formal educational credential
"  Motor vehicle operators, all other[2]",No formal educational credential
  Locomotive engineers,High school diploma or equivalent
"  Rail yard engineers, dinkey operators, and hostlers",High school diploma or equivalent
"  Railroad brake, signal, and switch operators and locomotive firers",High school diploma or equivalent
  Railroad conductors and yardmasters,High school diploma or equivalent
  Subway and streetcar operators,High school diploma or equivalent
"  Rail transportation workers, all other[2]",High school diploma or equivalent
  Sailors and marine oilers,No formal educational credential
"  Captains, mates, and pilots of water vessels",Postsecondary nondegree award
  Motorboat operators,Postsecondary nondegree award
  Ship engineers,Postsecondary nondegree award
  Bridge and lock tenders,High school diploma or equivalent
  Parking attendants,No formal educational credential
  Automotive and watercraft service attendants,No formal educational credential
  Aircraft service attendants[2],High school diploma or equivalent
  Traffic technicians,High school diploma or equivalent
  Transportation inspectors,High school diploma or equivalent
  Passenger attendants,High school diploma or equivalent
"  Transportation workers, all other[2]",High school diploma or equivalent
  Conveyor operators and tenders,No formal educational credential
  Crane and tower operators,High school diploma or equivalent
  Dredge operators,High school diploma or equivalent
  Hoist and winch operators,No formal educational credential
  Industrial truck and tractor operators,No formal educational credential
  Cleaners of vehicles and equipment,No formal educational credential
"  Laborers and freight, stock, and material movers, hand",No formal educational credential
  Machine feeders and offbearers,No formal educational credential
"  Packers and packagers, hand",No formal educational credential
  Stockers and order fillers,High school diploma or equivalent
  Gas compressor and gas pumping station operators,High school diploma or equivalent
"  Pump operators, except wellhead pumpers",High school diploma or equivalent
  Wellhead pumpers,High school diploma or equivalent
  Refuse and recyclable material collectors,No formal educational credential
"  Tank car, truck, and ship loaders",No formal educational credential
"  Material moving workers, all other[2]",No formal educational credential
Footnotes:,
"[1] Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers.",
[2] Skills information from similar O*NET-SOC occupation(s) imputed for this occupation. More information can be found in the Crosswalk of O*NET-SOC occupations to National Employment Matrix occupations for skills mapping file: https://www.bls.gov/emp/skills/ep_skill_nem_onet_crosswalks.xlsx.,
Note: Skills scores range from 1.0 (Not important) to 5.0 (Extremely important). More information can be found on the EP definitions page: https://www.bls.gov/emp/documentation/definitions.htm.,
"Note: Data is unavailable for values denoted with a ""—"".",
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",
